statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
Alaska,5,30389,251.23,269.84,246.01,254.99,1022.07
Alaska,6,30363,231.44,252.61,267.49,251.15,1002.69
Alaska,7,30390,245.68,224.69,255.61,177.32,903.3
Alaska,8,30311,60.57,93.85,134.94,162.28,451.64
Alaska,9,271019,285.03,176.15,162.51,149.78,773.47
Alaska,10,30339,161.41,163.67,139.07,148.5,612.65
Alaska,11,261690,140.29,139.94,154.12,148,582.35
Alaska,12,270900,50.44,73.9,58.18,146.75,329.27
Alaska,13,260300,150.2,186.47,98.97,145.74,581.38
Alaska,14,30312,257.67,208.27,281.52,137.95,885.41
Alaska,15,230120,77.18,100.46,100.3,96.44,374.38
Alaska,16,440320,162.55,122.53,89.92,92.84,467.84
Alaska,17,30367,111.68,131.54,98.67,89.53,431.42
Alaska,18,30614,99.25,97.34,101.53,65.92,364.04
Alaska,19,880000,46.16,103.81,46.81,28.28,225.06
Alaska,20,30351,45.17,38.39,24.43,22.61,130.6
Alaska,21,30213,21.15,19.09,17.07,17.94,75.25
Alaska,22,30481,3.13,6.66,10.1,16.97,36.86
Alaska,23,30221,18.25,11.68,14.48,14.82,59.23
Alaska,24,711299,0,0.07,0.12,12.4,12.59
Alaska,25,150420,6.56,11.83,11.81,11.69,41.89
Arizona,0,0,19478.29,21247.28,22655.35,22016.24,85397.16
Arizona,0,25,9189.97,10330.71,11577.34,11345.89,42443.91
Arizona,1,880000,2774.14,2225.74,2967.9,2256.81,10224.59
Arizona,2,260300,1547.69,2177.73,2502.45,1725.58,7953.45
Arizona,3,880212,5.28,141.47,66.36,1009.11,1222.22
Arizona,4,854231,1152.09,878.44,1051.37,826.05,3907.95
Arizona,5,854239,646.31,749.12,693.54,814.02,2902.99
Arizona,6,930690,414.6,412.71,354.25,559.64,1741.2
Arizona,7,853890,345.13,401.5,404.9,428.4,1579.93
Arizona,8,854150,44.77,345.37,427.62,428.02,1245.78
Arizona,9,271121,540.04,629.1,373.16,391.37,1933.67
Arizona,10,851762,228.47,270.61,331.72,381.09,1211.89
Arizona,11,853669,189.81,192.52,208.95,235.11,826.39
Arizona,12,902139,185.32,232.79,204.79,222.31,845.21
Arizona,13,853710,106.82,197.36,192.74,216.62,713.54
Arizona,14,841111,19.11,171.87,258.5,197.83,647.31
Arizona,15,902190,19.84,29.64,78.99,173.13,301.6
Arizona,16,853690,131.96,135.11,157.73,168.91,593.71
Arizona,17,853400,61.95,71.3,80.36,161.34,374.95
Arizona,18,848180,89.21,111.13,124.46,160.44,485.24
Arizona,19,392690,146.88,178.51,175.04,158.17,658.6
Arizona,20,300490,112.81,214.79,256.71,156.32,740.63
Arizona,21,870829,10.09,79.17,139.75,147.7,376.71
Arizona,22,847150,151.25,154.98,140.84,140.75,587.82
Arizona,23,903289,75.2,105.48,138.85,138.31,457.84
Arizona,24,848690,102.17,85.24,122.95,127.72,438.08
Arizona,25,210690,89.02,139.04,123.42,121.14,472.62
Arkansas,0,0,7160.84,6866.25,5869.47,5707.47,25604.03
Arkansas,0,25,3871.39,3615.77,2957.84,3203.06,13648.06
Arkansas,1,880000,1843.92,1628.12,791.25,1082.82,5346.11
Arkansas,2,853669,99.87,229.49,428.7,185.6,943.66
Arkansas,3,40711,83.93,100.99,136.31,174.27,495.5
Arkansas,4,930690,120.42,75.49,97.88,168.69,462.48
Arkansas,5,481151,145.59,173.91,179.51,161.54,660.55
Arkansas,6,100630,173.76,179.85,165.15,152.35,671.11
Arkansas,7,20714,242.95,212.79,120.55,149.9,726.19
Arkansas,8,390390,57.37,80.74,80.8,113.07,331.98
Arkansas,9,293090,125.97,115.45,134.53,110.2,486.15
Arkansas,10,290399,74.35,78.08,71.62,89.7,313.75
Arkansas,11,100610,62.28,27.74,56.95,67.85,214.82
Arkansas,12,210690,18.2,53.78,48.73,66.49,187.2
Arkansas,13,848180,99.37,111.18,79.69,59.79,350.03
Arkansas,14,20713,66.33,55.27,54.63,59.72,235.95
Arkansas,15,850152,77.39,69.68,74.77,59.67,281.51
Arkansas,16,290819,46.09,47.37,41.46,59.52,194.44
Arkansas,17,400821,45.68,52.08,49.33,57.07,204.16
Arkansas,18,100199,19.98,23.75,37.01,56.08,136.82
Arkansas,19,520100,156.03,66.8,79.16,54.21,356.2
Arkansas,20,340111,37.46,32.78,47.13,49.24,166.61
Arkansas,21,841582,44.76,47.46,49.22,47.67,189.11
Arkansas,22,870880,66.3,62.6,53.66,47.53,230.09
Arkansas,23,721633,110.03,70.51,46.46,44.62,271.62
Arkansas,24,860691,0,0,0,42.98,42.98
Arkansas,25,871639,53.34,19.88,33.33,42.48,149.03
California,0,0,168191.55,173868.59,165379.58,163512.85,670952.57
California,0,25,54400.57,58554.1,57043.15,59910.27,229908.09
California,1,880000,7508.29,7504.3,6785.55,7346.83,29144.97
California,2,851762,4755.63,5307.68,6289.05,6969.49,23321.85
California,3,710239,5580.71,5367.18,4582.34,5514.5,21044.73
California,4,848620,2232.3,2670.53,3260.71,3322.07,11485.61
California,5,80212,3165.69,3504.76,3730.26,3213.98,13614.69
California,6,851712,2275.48,2267.58,2502.79,2578.16,9624.01
California,7,300210,2466.54,3190.74,2775.67,2564.1,10997.05
California,8,880260,734.01,559.91,2037.77,2410.31,5742
California,9,901890,1949.39,1929.02,1982.44,2132.02,7992.87
California,10,870390,600.06,1353.96,1277.32,2037.77,5269.11
California,11,382200,1559.92,1620.22,1702.73,1980.56,6863.43
California,12,854239,2142.42,2115.68,1995.43,1930.29,8183.82
California,13,847330,2142.54,2137.84,2096.54,1924.37,8301.29
California,14,870323,1775.83,2286.6,1805.86,1851.59,7719.88
California,15,870324,1155.59,1852.17,1490.42,1632.32,6130.5
California,16,271019,4051.54,4787.68,2980.17,1613.65,13433.04
California,17,848690,1095.12,1007.45,1304.8,1509.09,4916.46
California,18,854231,1602.74,1581.49,1451.95,1309.46,5945.64
California,19,847130,1994.98,1903.04,1583.17,1266.64,6747.83
California,20,760421,14.26,11.95,34.09,1217.48,1277.78
California,21,220421,1129.99,1061.82,1149.64,1158.29,4499.74
California,22,847170,1260.39,1332.43,1205.8,1144.27,4942.89
California,23,880330,1245.48,1257.99,1039.01,1138.75,4681.23
California,24,210690,1077.23,1066.19,1019.28,1105.12,4267.82
California,25,80211,884.45,875.88,960.36,1039.16,3759.85
Colorado,0,0,8545.01,8363.71,7950.33,7580.28,32439.33
Colorado,0,25,3217.07,3290.51,3055.24,3256.33,12819.15
Colorado,1,854239,251.26,304.9,373.42,389.84,1319.42
Colorado,2,20130,382.08,439.34,345.95,387.67,1555.04
Colorado,3,901890,312.31,343,289.7,305.23,1250.24
Colorado,4,20230,204.56,239.43,217,200.21,861.2
Colorado,5,880000,276.07,251.23,170.89,186.1,884.29
Colorado,6,902110,247.13,136.27,135.82,163.11,682.33
Colorado,7,410150,143.63,200.28,170.81,160.53,675.25
Colorado,8,370110,70.63,129.34,157.58,129.52,487.07
Colorado,9,20319,85.04,64.29,54.77,129.12,333.22
Colorado,10,854231,141.53,135.34,100.96,111.25,489.08
Colorado,11,854233,85.61,79.54,57.05,88.42,310.62
Colorado,12,902750,92.01,76.25,84.17,87.94,340.37
Colorado,13,20220,92.4,114.9,83.36,86.55,377.21
Colorado,14,420299,64.34,73.85,79.64,85.68,303.51
Colorado,15,370210,219.01,173.38,126.83,79.7,598.92
Colorado,16,902680,44.25,31.23,42.66,77.68,195.82
Colorado,17,848180,69.52,75.02,68.01,76.82,289.37
Colorado,18,220290,21.26,48.19,76.35,72.7,218.5
Colorado,19,681389,52.49,63.96,82.53,71.71,270.69
Colorado,20,761290,15.69,11.39,59.6,69.79,156.47
Colorado,21,270900,111.88,55.35,39.16,60.49,266.88
Colorado,22,851762,45.47,39.99,63.33,59.92,208.71
Colorado,23,830990,2.46,11.22,24.02,59.55,97.25
