statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
New Hampshire,0,0,11873.2,11231.55,9313.05,8611.27,41029.07
New Hampshire,0,25,8566.98,7718.79,5782.88,5258.17,27326.82
New Hampshire,1,271012,4476.34,3432.18,2344.2,1981.78,12234.5
New Hampshire,2,271019,2029.17,1988.45,1328.59,989.47,6335.68
New Hampshire,3,841191,4.39,9.55,57.73,351.13,422.8
New Hampshire,4,640399,210.65,239.14,225.39,222.53,897.71
New Hampshire,5,271020,507.17,558.39,241.65,210.43,1517.64
New Hampshire,6,640391,50.41,162.37,89.64,152.13,454.55
New Hampshire,7,271320,176.72,179.44,184.83,144.74,685.73
New Hampshire,8,392119,134.84,119.61,141.66,129.66,525.77
New Hampshire,9,901890,89.82,95.41,105.77,118.8,409.8
New Hampshire,10,440710,54.85,56.71,52.8,102.88,267.24
New Hampshire,11,901839,92.53,98.44,88.51,92.43,371.91
New Hampshire,12,854140,19.25,15.87,33.19,87.76,156.07
New Hampshire,13,950699,5.27,44.01,114.82,82.13,246.23
New Hampshire,14,853921,61.98,61.76,79.2,82.01,284.95
New Hampshire,15,851762,98.2,99.17,128,64.62,389.99
New Hampshire,16,611020,39.33,38.03,56.67,52.8,186.83
New Hampshire,17,847330,63.95,63.69,68.49,51.77,247.9
New Hampshire,18,902750,51,59.21,49.48,48.11,207.8
New Hampshire,19,853400,21.46,30.47,39.4,46.65,137.98
New Hampshire,20,400821,34.52,34.73,41.69,43.63,154.57
New Hampshire,21,841981,21.01,34.37,41.2,43.55,140.13
New Hampshire,22,851770,234.6,203.77,153.41,41.97,633.75
New Hampshire,23,850440,37.42,30.24,44.64,41.49,153.79
New Hampshire,24,902890,33.83,51.81,53.82,39.43,178.89
New Hampshire,25,901380,18.3,11.98,18.09,36.25,84.62
New Jersey,0,0,119251.96,126456.28,119571.47,108133.13,473412.84
New Jersey,0,25,56172,57169.27,47407.93,39599.39,200348.59
New Jersey,1,300490,4808.01,5542.85,8485.01,7249.51,26085.38
New Jersey,2,271012,10298.09,9674.43,6268.16,7080.2,33320.88
New Jersey,3,270900,11916.54,10894.29,6448.48,5513.95,34773.26
New Jersey,4,870323,11504.15,11855.06,10110.55,3790.36,37260.12
New Jersey,5,870324,5001.05,4008.02,2511.45,2316.06,13836.58
New Jersey,6,271019,3618.32,4685.41,2323.33,1591.68,12218.74
New Jersey,7,300439,462.12,437.77,611.95,1031.6,2543.44
New Jersey,8,300210,103.87,207.91,323.58,1010.44,1645.8
New Jersey,9,854140,183.73,376,661.79,796.43,2017.95
New Jersey,10,711021,963.66,1477.18,1293.19,778.1,4512.13
New Jersey,11,851762,1085.73,1282.89,996.72,682.24,4047.58
New Jersey,12,180100,593.8,641.46,779.8,675.82,2690.88
New Jersey,13,40690,598.26,635.24,639.53,663.87,2536.9
New Jersey,14,950300,522.66,528.09,592.7,649.36,2292.81
New Jersey,15,901890,376.79,420.21,567.93,595.02,1959.95
New Jersey,16,401110,799.5,759.4,862.53,589.23,3010.66
New Jersey,17,847170,120.08,133.46,324.54,570.38,1148.46
New Jersey,18,30617,458.83,519.08,461.02,560.24,1999.17
New Jersey,19,847330,337.86,411.08,425.45,520.7,1695.09
New Jersey,20,844399,659.97,713.34,572.79,504.21,2450.31
New Jersey,21,20230,556.9,774.94,816.26,490.27,2638.37
New Jersey,22,841810,127.38,130.93,178.45,488.62,925.38
New Jersey,23,847130,658.23,619.1,545.66,488.23,2311.22
New Jersey,24,190531,117.56,125.49,177.6,484.46,905.11
New Jersey,25,80132,298.91,315.63,429.46,478.43,1522.43
New Mexico,0,0,2016.09,2232.66,2248.53,2290.27,8787.55
New Mexico,0,25,1124.73,1302.36,1310,1289.9,5026.99
New Mexico,1,847330,464.47,556.01,467.82,314.39,1802.69
New Mexico,2,851769,0.58,42.92,102.9,132.38,278.78
New Mexico,3,852351,0.18,0.23,18.87,94.45,113.73
New Mexico,4,392690,59,64.26,71.03,75.81,270.1
New Mexico,5,840120,210.99,187.56,88.24,54.34,541.13
New Mexico,6,854470,3.54,19.76,47.65,48.48,119.43
